,NPC,Households,PV output,LLP,Diesel Cost,Renewable invesment cost,Genererator invesment cost,Battery invesment cost,Battery operation cost,PV nominal capacity,Genset nominal capacity,Battery nominal capacity
939,324034.59519541,188,8,0.0341,0.955,1.567,1.666,0.499,3.14772727272727E-05,39008.0539842418,18531.191807506,20778.3722230548
940,365921.042972988,200,0,0.0281,1.071,1.751,1.564,0.668,5.06818181818182E-05,35473.2969471747,22518.6755972509,585.908668192875
941,366990.990770743,200,3,0.0228,1.173,1.514,1.521,0.524,3.43181818181818E-05,51449.8513771281,14678.3842755129,73689.9679406089
942,359484.199625695,188,6,0.0281,1.071,1.751,1.564,0.668,5.06818181818182E-05,35605.9931084648,21748.0800323193,0
943,344846.820588851,188,2,0.0281,1.071,1.751,1.564,0.668,5.06818181818182E-05,33055.0915715895,21745.1602887943,0
944,330149.682689193,200,1,0.0341,0.955,1.567,1.666,0.499,3.14772727272727E-05,41454.4997668106,17390.083670831,38118.5609740929
945,260263.070845425,200,6,0.0035,0.585,1.471,1.621,0.698,5.40909090909091E-05,33601.0408905704,26894.339342228,0
946,327773.514742568,188,6,0.0341,0.955,1.567,1.666,0.499,3.14772727272727E-05,38443.8501097035,19362.1551696801,14711.4729069156
947,237067.15641072,188,0,0.0035,0.585,1.471,1.621,0.698,5.40909090909091E-05,28489.6280225901,25134.4772031381,0
948,165894.29067065,188,7,0.0463,0.337,1.371,1.451,0.416,2.20454545454545E-05,16849.6192929838,21293.7079712613,0
949,249057.529148055,200,1,0.0035,0.585,1.471,1.621,0.698,5.40909090909091E-05,29456.5123099905,26345.8947383291,0
950,345554.142076253,200,4,0.0341,0.955,1.567,1.666,0.499,3.14772727272727E-05,40695.8202132633,20147.1484181099,14248.0690785585
951,260078.711473964,188,7,0.0401,0.691,1.657,1.35,0.438,2.45454545454545E-05,28180.8009117216,20705.8001175288,0
952,366095.365826357,200,2,0.0228,1.173,1.514,1.521,0.524,3.43181818181818E-05,51341.6210095096,14658.4653358424,73791.954288012
953,381335.225517246,200,8,0.0228,1.173,1.514,1.521,0.524,3.43181818181818E-05,53995.1475399243,15656.0671338846,59965.6194426322
954,220985.102395557,188,9,0.0098,0.513,1.731,1.3,0.483,2.96590909090909E-05,23310.4903739139,24474.076578308,0
955,294096.624397517,200,4,0.019,0.785,1.339,1.487,0.637,4.71590909090909E-05,36865.532735419,23652.7862748555,0
956,347076.656837019,188,2,0.0228,1.173,1.514,1.521,0.524,3.43181818181818E-05,48707.6517967198,14063.4565666667,72047.6200910925
957,179356.217715371,188,3,0.0372,0.392,1.634,1.384,0.585,4.125E-05,17662.4477334157,21574.3029702263,0
958,195565.89080665,200,6,0.0372,0.392,1.634,1.384,0.585,4.125E-05,15357.7237375226,23654.0393777345,0
959,184885.474673425,188,4,0.0372,0.392,1.634,1.384,0.585,4.125E-05,13813.9848536606,22502.83485,0
960,356868.618598165,188,5,0.0281,1.071,1.751,1.564,0.668,5.06818181818182E-05,34871.9153181616,21748.7565426668,0
961,264524.251874662,200,3,0.0401,0.691,1.657,1.35,0.438,2.45454545454545E-05,29079.4265416948,21455.2247141508,0
962,358613.831098056,188,9,0.0281,1.071,1.751,1.564,0.668,5.06818181818182E-05,35545.8353417466,21722.0968679739,0
963,272613.511199988,200,8,0.0401,0.691,1.657,1.35,0.438,2.45454545454545E-05,31079.8371135467,21432.2857464556,0
964,268252.941061359,188,1,0.019,0.785,1.339,1.487,0.637,4.71590909090909E-05,32044.6578401165,22707.4694675038,0
965,342850.806517024,200,5,0.0341,0.955,1.567,1.666,0.499,3.14772727272727E-05,40629.4270948404,19694.6809708226,18104.5440205309
966,145721.827136639,188,9,0.0109,0.225,1.413,1.587,0.563,3.875E-05,17335.4474563723,25709.2056175542,0
967,363165.393298306,188,5,0.0228,1.173,1.514,1.521,0.524,3.43181818181818E-05,50252.8027703417,15463.2747785467,56629.316283283
968,345625.039281616,200,6,0.0341,0.955,1.567,1.666,0.499,3.14772727272727E-05,40720.7676237383,20194.4457232505,13846.8034669775
